,0
133,-0.9724079886861907
134,-4.514442455092636
135,-2.853159863945578
136,-0.6953715437787995
137,-4.022496799705106
138,-3.1644275158339212
139,-2.1458843374436682
140,-5.136216631480176
141,-4.0537288864854695
142,-1.478969387755102
143,-0.21928821139134191
144,-1.0598595743822177
145,-3.4012953513235535
146,-5.629664229286185
147,-7.256159863945578
148,-3.681032834101382
149,-5.896282513990819
150,-5.321272343420127
151,-3.662353871493849
152,-2.456268355618107
153,-4.299599854227406
154,-4.390969387755103
155,-3.459772082359084
156,-0.07935957438221797
157,-2.1744172725058193
158,-1.1844424550926371
159,-4.000159863945578
160,0.07864458525345874
161,-2.6587825139908183
162,-0.7505787950330287
163,-1.322335950346897
164,-0.4927166314801781
165,-0.7368579187435351
166,-5.308469387755102
167,-3.817836598488116
168,-0.6916498969628626
169,-0.2695096370378387
170,-3.3149263260603785
171,2.252840136054422
172,-0.7628070276497674
173,1.9107174860091831
174,-1.3234820208394815
175,-1.6087875632501216
176,-6.357216631480176
177,-5.392336029342612
178,-5.049469387755103
179,-2.725739824294568
180,2.1549630062629435
181,-0.7749560656092673
182,1.8489607707138154
183,-0.707159863945579
184,-0.01087154377879962
185,1.6517174860091792
186,-2.576707827291095
187,2.0434705012660075
188,-6.505216631480176
189,-2.043793402614501
190,-2.866469387755103
191,4.6584147919457
192,-0.978101509866089
193,-1.141652494180696
194,-1.7036360034797333
195,3.8623401360544225
196,0.5978381336405558
197,1.1152174860091826
198,-3.865740085355611
199,0.7365350173950418
200,2.5042833685198254
201,-1.3813740477757932
202,1.8510306122448972
203,1.8216795305441424
204,-1.389875703414476
205,4.121962037839008
206,2.4499123836170407
207,1.7533401360544225
208,3.2654187788018465
209,2.749596796354009
210,3.9579695920637405
211,0.32476082384665617
212,0.8207833685198231
213,3.7389485328693706
214,0.9815306122448986
215,-3.0300946630042453
216,-0.42310150986608885
217,-2.9255810656092676
218,-0.9517005196087656
219,3.954840136054422
220,0.4009026497695878
221,1.1152174860091826
222,1.6305502372250338
223,-1.419426521066498
224,-0.8812166314801786
225,5.296529178030658
226,-3.4769693877551027
227,-0.7205785339719872
228,-0.20826280018866994
229,-0.8245096370378393
230,1.841202706197687
231,2.3268401360544217
232,-0.8702263824884771
233,0.282717486009183
234,0.6100663662572927
235,-0.4271746600243169
236,0.6912833685198265
237,-1.6499224348725665
238,2.3505306122448983
239,4.81151824022156
240,0.505285586908105
241,2.6910260772478756
242,-5.64541019702812
243,-3.2064931972789115
244,-5.685710253456219
245,-2.3084491806574867
246,1.16216314045084
247,2.4856729484295244
248,3.87195003518649
249,2.4524969199661424
250,1.534030612244897
251,-3.0296107920365034
252,1.763350103037137
253,-0.21045175526444027
254,1.386847867488009
255,3.4935068027210896
256,7.475580069124424
257,-0.00844918065748601
258,-1.418482020839484
259,1.8583092109434283
260,2.4719500351864916
261,2.5492711135145303
262,2.1340306122448967
263,2.776840820866722
264,0.021414619166169047
265,0.29816893439073233
266,3.257815609423493
267,-0.13982653061224504
268,-0.3631296082949298
269,-0.7084491806574853
270,-0.45074008535561205
271,0.6002446948143962
272,2.87195003518649
273,2.2912065973854983
274,1.9673639455782306
275,-0.7392882113913419
276,2.698833974004879
277,-0.1304024941806965
278,3.870718835229945
279,1.9935068027210896
280,2.02396716589862
281,3.124884152675847
282,3.420227656579872
283,2.4571871913080834
284,0.6386167018531559
285,1.3234646619016264
286,2.000697278911564
287,0.6155504982860771
288,-2.720520864704799
289,5.441026077247875
290,-2.4196037454152175
291,-2.139826530612244
292,-2.717968317972348
293,-4.375115847324151
294,-0.6442884724523879
295,1.0841156625563322
296,2.2386167018531573
297,-0.3862127574532117
298,-5.23263605442177
299,-0.5779978888106969
300,0.24722107077907207
301,0.7550654861148702
302,1.773944641681557
303,1.6268401360544225
304,-1.395387672811058
305,2.824884152675846
306,3.258937333999228
307,3.0195995335240724
308,0.7052833685198223
309,3.9686259522242064
310,6.400697278911564
311,0.9058730789312381
312,-0.8818111872854439
313,1.9410260772478756
314,4.515880125552525
315,0.7601734693877553
316,4.411063940092168
317,-1.6084491806574839
318,-0.06364331116206401
319,0.5679866302982646
320,-0.2947166314801777
321,0.4524969199661424
322,1.5673639455782302
